original_Nr. Matricola,original_Cod. Cli/For,original_RAGIONESOCIALE,original_Commessa,original_Cod. Dest.,original_H2DES,original_INDIRIZZO,original_CITTA,original_CAP,original_PROVINCIA,original_NAZIONE,original_LONG,original_LAT,original_Fatt-Fitt,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
YM2700014,1201999999,FPT INDUSTRIE SPA,YM014,,Linea SINTHESYS,VIA E.FERMI 18,SANTA MARIA DI SALA,30036,VE,Italia,12.033986200,45.5050934,2777,45.504461,12.019899,"Via Enrico Fermi, 18, 30036 Caselle VE, Italia",,18,Santa Maria Di Sala,Via Enrico Fermi,30036,,Caselle,Venezia,VE,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AM1000039,1201001774,CINEL OFFICINE MECCANICHE SPA,AM020,,Linea AREA_M,VIA SILE 29,CASTELFRANCO VENETO,31033,TV,Italia,11.962430308,45.67493302,-1673,45.67491165,11.96201162479547,"Via Sile, 29, 31033 Castelfranco Veneto TV, Italia",,29,,Via Sile,31033,Salvatronda,Castelfranco Veneto,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L287057,1201001408,GENERAL STAMPI ATTREZZATURE SRL,L2047,,,VIA MONTE DEL POZZO 7,SAN LORENZO IN NOCETO,47010,FC,Italia,11.998285274,44.15673865,1025,44.1566768,11.9989512,"Monte del Pozzo, 7, 47016 Forlì FC, Italia",,7,,Monte del Pozzo,47016,,Forlì,Forlì-Cesena,FC,Emilia-Romagna,EMI,Italia,it,0.3,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RV1505043,1201001263,METALTEKNICA SRL,RV043,,Linea RAID,VIA ARTIGIANATO 8 - Z.A.,CUPRAMONTANA,60034,AN,Italia,13.172601416,43.47482807,2074,43.4455544,13.1155997,"60034 Cupramontana, Italia",,,,,60034,,Cupramontana,Ancona,AN,Marche,MAR,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DV2804051,1201001728,F.G. DI GANASSI ALBERTO E C. SRL,DV051,,Linea DINO,VIA SACCO E VANZETTI 3,BIBBIANO,42021,RE,Italia,10.504857287,44.6679318,1716,44.667786,10.50428,"Via Sacco E Vanzetti, 3, 42021 Bibbiano RE, Italia",,3,,Via Sacco E Vanzetti,42021,,Bibbiano,Reggio Emilia,RE,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
RV2006046,1201001779,UMBRASTAMPI SRL,RV046,,,VIA ITALO SVEVO 2,CERBARA CITTA' DI CASTELLO,6012,PG,Italia,12.201137600,43.5040002,3398,43.5040713,12.2010912,"Via Italo Svevo, 06011 Città di Castello PG, Italia",Via Italo Svevo,,,Via Italo Svevo,06011,Zona Industriale di Cerbara -Giove,Città di Castello,Perugia,PG,Umbria,UMB,Italia,it,0.315,0.63,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0606153,1201001408,GENERAL STAMPI ATTREZZATURE SRL,LM154,,Linea SIRIO_M,VIA MONTE DEL POZZO 7,SAN LORENZO IN NOCETO,47010,FC,Italia,11.998285274,44.15673865,2903,44.1566768,11.9989512,"Monte del Pozzo, 7, 47016 Forlì FC, Italia",,7,,Monte del Pozzo,47016,,Forlì,Forlì-Cesena,FC,Emilia-Romagna,EMI,Italia,it,0.3,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
B01012LML,1201001441,C.R. (COGIT),SI011,2,(Linea SPAZIO_LML),"VIA MAGELLANO, 22",TREBASELEGHE,35010,PD,Italia,12.048266314,45.5798552,-816,45.582225,12.04331,"Via Ferdinando Magellano, 35010 Comune di Trebaseleghe PD, Italia",,,,Via Ferdinando Magellano,35010,,Comune di Trebaseleghe,Padova,PD,Veneto,VEN,Italia,it,0.405,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RV2006047,1201001782,B. MECCANICA SYSTEM SRL,RV047,,,VIA SARDI 43/A,ALBERI DI VIGATTO,43010,PR,Italia,10.330625485,44.75246043,-3766,44.751803,10.3297285,"Via Gian Pietro Sardi, 43a, 43124 Parma PR, Italia",,43a,,Via Gian Pietro Sardi,43124,Vigatto,Parma,Parma,PR,Emilia-Romagna,EMI,Italia,it,0.855,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1705016,1201000262,S.C.S. SRL,SV016,,Linea STINGER,VIA MILANO 12,PONTOGLIO,25037,BS,Italia,9.857811322,45.58153195,1873,,,,,,,,,,,,,,,,,,,,,,
DV2805057,1201001474,O.ME.CA SRL,DV057,,Linea DINO,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,523,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
SV1706026,1201001474,O.ME.CA SRL,SV026,,Linea STINGER,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,4752,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
RV1505041,1201001474,O.ME.CA SRL,RV041,,Linea RAID,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,-3632,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
LM0605152,1201001749,LIVIOTTI E BELLINI SRL,LM153,,Linea SIRIO_M,VIA MANNELLI 22/24,SIGNA,50058,FI,Italia,11.102646200,43.7928299,2887,,,,,,,,,,,,,,,,,,,,,,
VM0405001,1201000109,OTIEFFE DI MARCHESIN LORENZO & C. SNC,VM001,,Linea VERUS_M,VIA DELL'INDUSTRIA 44,MASERADA SUL PIAVE,31052,TV,Italia,12.306353400,45.7616208,258,,,,,,,,,,,,,,,,,,,,,,
LT2006020,1201001770,BIEFFE SRL,LT020,,,VIA I MAGGIO 32,BORGO TICINO,28040,NO,Italia,8.608089200,45.6961145,-46,45.694645,8.608236,"Via I Maggio, 32, 28040 Borgo Ticino NO, Italia",,32,Comune di Borgo Ticino,Via I Maggio,28040,,Borgo Ticino,Novara,NO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM1403064,1201001852,COME SRL,AM045,,Linea AREA_M,VIA DEI CARPENTIERI 5,ALFONSINE,48011,RA,Italia,12.018180858,44.50926009,3094,44.5085086,12.0171109,"Via dei Carpentieri, 5, 48011 Alfonsine RA, Italia",,5,,Via dei Carpentieri,48011,,Alfonsine,Ravenna,RA,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93506177,1201000896,VETIMEC SOC. COOP.,LB120,1,,VIA DE GASPARI 3 Z.I.BARGELLI,CALDERARA DI RENO,40012,BO,Italia,11.259907667,44.54995585,3260,44.550232,11.26023,"Via Alcide De Gasperi, 3, 40012 Comune di Calderara di Reno BO, Italia",,3,,Via Alcide De Gasperi,40012,,Comune di Calderara di Reno,Bologna,BO,Emilia-Romagna,EMI,Italia,it,0.486,1,0.486,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
VM0606002,1201001761,DOGRECO SRL,VM002,,Linea VERUS_M,VIA LAGO DI MISURINA 68,SCHIO,36015,VI,Italia,11.416363700,45.7208702,-1185,45.721121,11.416975,"Via Lago Di Misurina, 68, 36015 Schio VI, Italia",,68,Comune di Zanè,Via Lago Di Misurina,36015,Zona Industriale Schio,Schio,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L288072,1201001278,SFOGGIA AGRICULTURE DIVISION SRL,L2057,,,VIA FELTRINA SUD 170,MONTEBELLUNA,31044,TV,Italia,12.079574045,45.76649,-1122,45.7665346,12.0800402,"Officine Sfoggia, Via Feltrina Sud, 170, 31044 Montebelluna TV, Italia",Officine Sfoggia,170,,Via Feltrina Sud,31044,Caonada,Montebelluna,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L189107,1201001861,HSF DI CARLO PORTA STAMPI E FRESATURA CNC,L1017,,,FRAZ.VALLE REALE N.6,ROATTO,14018,AT,Italia,8.012343183,44.94798909,3410,44.9516086,8.0270155,"Roatto, PIE, Italia",,,,,,,Roatto,Asti,AT,Piemonte,PIE,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L93501147,1201000544,SCS SOC.COSTRUZ.STAMPI SRL,LB090,,Linea LEM_93,VIA LAZIO 4/11,MONSANO,60030,AN,Italia,13.286321400,43.5648509,34,,,,,,,,,,,,,,,,,,,,,,
L591101,1201001866,D.D. S.R.L.,L5026,,,"VIA DIVISIONE JULIA, 40",MERETO DI TOMBA,33036,UD,Italia,13.058616234,46.05374054,-228,46.053655,13.058669,"Via Divisione Julia, 40, 33036 Comune di Mereto di Tomba Udine, Italia",,40,,Via Divisione Julia,33036,,Comune di Mereto di Tomba,Udine,UD,Friuli-Venezia Giulia,,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0699038,1201001867,B.P.B. SRL OFFICINA MECCANICA,LM039,1,Linea SIRIO_M,"VIA S. ALLENDE, 14",BRANDIZZO,10032,TO,Italia,7.828415241,45.17044834,4079,45.170295,7.828741,"Via Salvador Allende, 14, 10032 Brandizzo Torino, Italia",,14,Comune di Brandizzo,Via Salvador Allende,10032,,Brandizzo,Torino,TO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM2006086,1201001769,MAIR RESEARCH SPA,AM066,,Linea AREA_M,VIA LAGO DI ALBANO 55,SCHIO,36015,VI,Italia,11.417290800,45.7185578,2957,45.7180429,11.415954,"Via Lago di Albano, 55, 36015 Schio VI, Italia",,55,Comune di Zanè,Via Lago di Albano,36015,Zona Industriale Schio,Schio,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,,,
PM4000027,1201001872,MAC S.P.A.,PM027,1,Linea PRAGMA_M,"VIA FRANCESCO BARACCA, 25",LA LOGGIA,10040,TO,Italia,7.670861769,44.96172828,-869,44.961545,7.669968,"Via Francesco Baracca, 25, 10040 La Loggia Torino, Italia",,25,Comune di La Loggia,Via Francesco Baracca,10040,,La Loggia,Torino,TO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
